,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
23,design,pro/e(ptc),0.9880834160873883,0.997020854021847,0.9880834160873883,1.0,1.002988047808765,0.002943644735116435,inf,0.25000000000000666
22,pro/e(ptc),design,0.997020854021847,0.9880834160873883,0.9880834160873883,0.9910358565737052,1.002988047808765,0.002943644735116435,1.3293611386958002,1.0000000000000173
358,MATLAB M-File,pro/e(ptc),0.7944389275074478,0.997020854021847,0.7944389275074478,1.0,1.002988047808765,0.0023667495357719837,inf,0.014492753623188671
695,training,pro/e(ptc),0.5362462760675273,0.997020854021847,0.5362462760675273,1.0,1.002988047808765,0.0015975559366461223,inf,0.006423982869379267
306,pro/e(ptc),description,0.997020854021847,0.8272095332671301,0.8272095332671301,0.8296812749003984,1.002988047808765,0.0024643779541225763,1.014512447952055,1.0000000000000062
542,material,pro/e(ptc),0.6931479642502483,0.997020854021847,0.6931479642502483,1.0,1.002988047808765,0.0020649889699609902,inf,0.00970873786407754
117,analysis,pro/e(ptc),0.9334657398212513,0.997020854021847,0.9334657398212513,1.0,1.002988047808765,0.002780930704532114,inf,0.04477611940298644
873,pdf,pro/e(ptc),0.4299900695134062,0.997020854021847,0.4299900695134062,1.0,1.002988047808765,0.0012810031862365845,inf,0.0052264808362370236
42,pro/e(ptc),table,0.997020854021847,0.971201588877855,0.971201588877855,0.9741035856573705,1.002988047808765,0.002893351307481251,1.1120617217935995,1.0000000000000073
43,table,pro/e(ptc),0.971201588877855,0.997020854021847,0.971201588877855,1.0,1.002988047808765,0.002893351307481251,inf,0.10344827586207092
227,presentation,pro/e(ptc),0.8848063555114201,0.997020854021847,0.8848063555114201,1.0,1.002988047808765,0.002635967295466002,inf,0.025862068965517276
92,systems engineering (se),dat,0.9503475670307845,0.997020854021847,0.9503475670307845,1.0,1.002988047808765,0.002831224132167187,inf,0.06000000000000006
667,creation,pro/e(ptc),0.5700099304865939,0.997020854021847,0.5700099304865939,1.0,1.002988047808765,0.0016981427919163794,inf,0.006928406466512753
664,creation,dat,0.5700099304865939,0.997020854021847,0.5700099304865939,1.0,1.002988047808765,0.0016981427919163794,inf,0.006928406466512753
87,systems engineering (se),pro/e(ptc),0.9503475670307845,0.997020854021847,0.9503475670307845,1.0,1.002988047808765,0.002831224132167187,inf,0.06000000000000006
486,database,dat,0.733862959285005,0.997020854021847,0.733862959285005,1.0,1.002988047808765,0.0021862848836693427,inf,0.011194029850746336
86,pro/e(ptc),systems engineering (se),0.997020854021847,0.9503475670307845,0.9503475670307845,0.953187250996016,1.002988047808765,0.002831224132167187,1.0606604830019664,0.9999999999999899
658,md,pro/e(ptc),0.5779543197616683,0.997020854021847,0.5779543197616683,1.0,1.002988047808765,0.0017218102872741392,inf,0.007058823529411981
934,verification,pro/e(ptc),0.4001986097318769,0.997020854021847,0.4001986097318769,1.0,1.002988047808765,0.0011922500786451518,inf,0.004966887417218697
353,review,pro/e(ptc),0.7954319761668321,0.997020854021847,0.7954319761668321,1.0,1.002988047808765,0.002369707972691648,inf,0.014563106796116462
911,analyzing,dat,0.407149950347567,0.997020854021847,0.407149950347567,1.0,1.002988047808765,0.001212959137083136,inf,0.005025125628140774
226,pro/e(ptc),presentation,0.997020854021847,0.8848063555114201,0.8848063555114201,0.8874501992031872,1.002988047808765,0.002635967295466002,1.0234904342171172,0.9999999999999898
912,analyzing,pro/e(ptc),0.407149950347567,0.997020854021847,0.407149950347567,1.0,1.002988047808765,0.001212959137083136,inf,0.005025125628140774
83,cco,dat,0.9513406156901688,0.997020854021847,0.9513406156901688,1.0,1.002988047808765,0.0028341825690869626,inf,0.061224489795919754
82,dat,cco,0.997020854021847,0.9513406156901688,0.9513406156901688,0.954183266932271,1.002988047808765,0.0028341825690869626,1.062043953197186,1.000000000000011
